,year,month,value,rate,city
163,2018,January,46125,4.2,charlotte
164,2018,July,12963,4.0,winstonsalem
165,2018,July,16321,4.5,greensboro
166,2018,July,26393,3.7,raleigh
167,2018,July,45215,4.0,charlotte
168,2018,June,13376,4.1,winstonsalem
169,2018,June,16732,4.6,greensboro
170,2018,June,27120,3.8,raleigh
171,2018,June,46353,4.1,charlotte
172,2018,March,12288,3.8,winstonsalem
173,2018,March,15323,4.2,greensboro
174,2018,March,25015,3.6,raleigh
175,2018,March,43304,3.9,charlotte
176,2018,May,11623,3.6,winstonsalem
177,2018,May,14748,4.1,greensboro
178,2018,May,23687,3.4,raleigh
179,2018,May,41343,3.7,charlotte
180,2018,November,11475,3.5,winstonsalem
181,2018,November,14507,4.0,greensboro
182,2018,November,23428,3.3,raleigh
183,2018,November,40207,3.5,charlotte
184,2018,October,11591,3.6,winstonsalem
185,2018,October,14247,3.9,greensboro
186,2018,October,23593,3.3,raleigh
187,2018,October,40358,3.5,charlotte
188,2018,September,11037,3.4,winstonsalem
189,2018,September,13661,3.8,greensboro
190,2018,September,22540,3.2,raleigh
191,2018,September,38738,3.4,charlotte
192,2019,April,10582,3.3,winstonsalem
193,2019,April,13182,3.6,greensboro
194,2019,April,22264,3.1,raleigh
195,2019,April,37970,3.3,charlotte
196,2019,August,12987,4.0,winstonsalem
197,2019,August,16134,4.4,greensboro
198,2019,August,26840,3.7,raleigh
199,2019,August,45066,3.9,charlotte
200,2019,December,10628,3.3,winstonsalem
201,2019,December,12905,3.5,greensboro
202,2019,December,21667,3.0,raleigh
203,2019,December,37760,3.3,charlotte
204,2019,February,12183,3.7,winstonsalem
205,2019,February,15240,4.2,greensboro
206,2019,February,25344,3.6,raleigh
207,2019,February,42935,3.8,charlotte
208,2019,January,13017,4.0,winstonsalem
209,2019,January,16253,4.5,greensboro
210,2019,January,26829,3.8,raleigh
211,2019,January,45645,4.0,charlotte
212,2019,July,13026,4.0,winstonsalem
213,2019,July,16462,4.5,greensboro
214,2019,July,27272,3.8,raleigh
215,2019,July,46001,3.9,charlotte
216,2019,June,13042,4.0,winstonsalem
217,2019,June,16184,4.4,greensboro
218,2019,June,27225,3.8,raleigh
219,2019,June,45500,3.9,charlotte
220,2019,March,11996,3.7,winstonsalem
221,2019,March,14892,4.1,greensboro
222,2019,March,25272,3.5,raleigh
223,2019,March,42445,3.7,charlotte
224,2019,May,11986,3.7,winstonsalem
225,2019,May,14853,4.1,greensboro
226,2019,May,25062,3.5,raleigh
227,2019,May,42137,3.7,charlotte
228,2019,November,11205,3.4,winstonsalem
229,2019,November,13807,3.8,greensboro
230,2019,November,22979,3.2,raleigh
231,2019,November,40650,3.5,charlotte
232,2019,October,11390,3.5,winstonsalem
233,2019,October,14095,3.8,greensboro
234,2019,October,23440,3.2,raleigh
235,2019,October,40383,3.5,charlotte
236,2019,September,10801,3.3,winstonsalem
237,2019,September,13499,3.7,greensboro
238,2019,September,22453,3.1,raleigh
239,2019,September,38629,3.3,charlotte
240,2020,April,151219,14.0,charlotte
241,2020,April,41556,13.8,winstonsalem
242,2020,April,54401,15.9,greensboro
243,2020,April,79485,12.0,raleigh
244,2020,August,20240,6.5,winstonsalem
245,2020,August,26857,7.8,greensboro
246,2020,August,41088,5.9,raleigh
247,2020,August,77992,6.9,charlotte
248,2020,December,17295,5.5,winstonsalem
249,2020,December,21792,6.2,greensboro
